"","ASVs","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_1605","ASV_1605","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
"ASV_1607","ASV_1607","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_1608","ASV_1608","Bacteria","Acidobacteria","Acidobacteria_Gp3","Gp3",NA,NA
"ASV_1609","ASV_1609","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae",NA
"ASV_1610","ASV_1610","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Nocardiaceae","Rhodococcus"
"ASV_1611","ASV_1611","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Ornithinicoccus"
"ASV_1612","ASV_1612","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"ASV_1613","ASV_1613","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_1614","ASV_1614","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_2","Ammoniphilus"
"ASV_1617","ASV_1617","Bacteria","Proteobacteria","Oligoflexia","Oligoflexales",NA,NA
"ASV_1618","ASV_1618","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"ASV_1619","ASV_1619","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium"
"ASV_1620","ASV_1620","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ASV_1628","ASV_1628","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"ASV_1634","ASV_1634","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ASV_1636","ASV_1636","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Frateuria"
"ASV_1637","ASV_1637","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",NA
"ASV_1643","ASV_1643","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ASV_1644","ASV_1644","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas"
"ASV_1649","ASV_1649","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus"
"ASV_1656","ASV_1656","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Sorangium"
"ASV_1657","ASV_1657","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_1658","ASV_1658","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora"
"ASV_1660","ASV_1660","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Sediminibacterium"
"ASV_1661","ASV_1661","Bacteria","Actinobacteria","Actinobacteria","Geodermatophilales","Geodermatophilaceae","Modestobacter"
"ASV_1662","ASV_1662","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Enteractinococcus"
"ASV_1663","ASV_1663","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia"
"ASV_1664","ASV_1664","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Ornithinimicrobium"
"ASV_1665","ASV_1665","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_1666","ASV_1666","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus"
"ASV_1667","ASV_1667","Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
"ASV_1668","ASV_1668","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"ASV_1671","ASV_1671","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_1672","ASV_1672","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"ASV_1682","ASV_1682","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidisoma"
"ASV_1692","ASV_1692","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma"
"ASV_1696","ASV_1696","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"ASV_1697","ASV_1697","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae",NA
"ASV_1703","ASV_1703","Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
"ASV_1706","ASV_1706","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Aureimonas"
"ASV_1708","ASV_1708","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_1709","ASV_1709","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ASV_1710","ASV_1710","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Ornithinibacillus"
"ASV_1711","ASV_1711","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Paenibacillus"
"ASV_1714","ASV_1714","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales",NA,NA
"ASV_1717","ASV_1717","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA
"ASV_1726","ASV_1726","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_1727","ASV_1727","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_1728","ASV_1728","Bacteria","Actinobacteria","Actinobacteria","Nakamurellales","Nakamurellaceae","Nakamurella"
"ASV_1729","ASV_1729","Bacteria","Proteobacteria",NA,NA,NA,NA
"ASV_1734","ASV_1734","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA
"ASV_1738","ASV_1738","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus"
"ASV_1739","ASV_1739","Bacteria","Verrucomicrobia","Spartobacteria",NA,NA,NA
"ASV_1740","ASV_1740","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"ASV_1741","ASV_1741","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"ASV_1742","ASV_1742","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Fibrella"
"ASV_1744","ASV_1744","Bacteria","Acidobacteria","Acidobacteria_Gp3","Gp3",NA,NA
"ASV_1748","ASV_1748","Bacteria","Acidobacteria","Acidobacteria_Gp1","Granulicella",NA,NA
"ASV_1750","ASV_1750","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae",NA
"ASV_1751","ASV_1751","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"ASV_1752","ASV_1752","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Porphyrobacter"
"ASV_1753","ASV_1753","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",NA,NA
"ASV_1754","ASV_1754","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae",NA
"ASV_1755","ASV_1755","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ASV_1758","ASV_1758","Bacteria","Acidobacteria","Acidobacteria_Gp3","Candidatus_Solibacter",NA,NA
"ASV_1759","ASV_1759","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Oerskovia"
"ASV_1760","ASV_1760","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus"
"ASV_1762","ASV_1762","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Huanghella"
"ASV_1763","ASV_1763","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus"
"ASV_1766","ASV_1766","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidisoma"
"ASV_1767","ASV_1767","Bacteria","Acidobacteria","Acidobacteria_Gp1","Edaphobacter",NA,NA
"ASV_1768","ASV_1768","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Flavitalea"
"ASV_1769","ASV_1769","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Parafilimonas"
"ASV_1770","ASV_1770","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Segetibacter"
"ASV_1782","ASV_1782","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae",NA
"ASV_1784","ASV_1784","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_1787","ASV_1787","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas"
"ASV_1792","ASV_1792","Bacteria","Actinobacteria","Actinobacteria","Nakamurellales","Nakamurellaceae","Nakamurella"
"ASV_1793","ASV_1793","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"ASV_1797","ASV_1797","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Skermanella"
"ASV_1798","ASV_1798","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia"
"ASV_1803","ASV_1803","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Thermoguttaceae",NA
"ASV_1805","ASV_1805","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Acidibacter",NA
"ASV_1806","ASV_1806","Bacteria","Verrucomicrobia","Spartobacteria",NA,NA,NA
"ASV_1807","ASV_1807","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
"ASV_1808","ASV_1808","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga"
"ASV_1809","ASV_1809","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Pseudolabrys"
"ASV_1810","ASV_1810","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Puia"
"ASV_1811","ASV_1811","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae",NA
"ASV_1812","ASV_1812","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter"
"ASV_1815","ASV_1815","Bacteria","Chloroflexi","Thermomicrobia","Sphaerobacterales","Sphaerobacteraceae","Nitrolancea"
"ASV_1816","ASV_1816","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales",NA,NA
"ASV_1817","ASV_1817","Bacteria","Actinobacteria","Actinobacteria","Micrococcales",NA,NA
"ASV_1818","ASV_1818","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina"
"ASV_1819","ASV_1819","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"ASV_1821","ASV_1821","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"ASV_1822","ASV_1822","Bacteria","Acidobacteria","Acidobacteria_Gp1","Granulicella",NA,NA
"ASV_1826","ASV_1826","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_1828","ASV_1828","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas"
"ASV_1830","ASV_1830","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA
"ASV_1834","ASV_1834","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_1835","ASV_1835","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Lonsdalea"
"ASV_1836","ASV_1836","Bacteria","Acidobacteria","Acidobacteria_Gp1","Granulicella",NA,NA
"ASV_1837","ASV_1837","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Isosphaeraceae","Tundrisphaera"
"ASV_1838","ASV_1838","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidisoma"
"ASV_1841","ASV_1841","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
"ASV_1842","ASV_1842","Bacteria","Actinobacteria","Actinobacteria","Geodermatophilales","Geodermatophilaceae","Cumulibacter"
"ASV_1843","ASV_1843","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"ASV_1844","ASV_1844","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma"
"ASV_1845","ASV_1845","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus"
"ASV_1847","ASV_1847","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Rhodopseudomonas"
"ASV_1851","ASV_1851","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ASV_1853","ASV_1853","Bacteria","Proteobacteria",NA,NA,NA,NA
"ASV_1858","ASV_1858","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Isosphaeraceae","Aquisphaera"
"ASV_1860","ASV_1860","Bacteria","Proteobacteria","Oligoflexia","Oligoflexales",NA,NA
"ASV_1861","ASV_1861","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
"ASV_1862","ASV_1862","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_1863","ASV_1863","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"ASV_1865","ASV_1865","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_1867","ASV_1867","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae","Aridibacter"
"ASV_1868","ASV_1868","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","Conexibacter"
"ASV_1869","ASV_1869","Bacteria","Chloroflexi","Thermomicrobia","Sphaerobacterales","Sphaerobacteraceae","Nitrolancea"
"ASV_1870","ASV_1870","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Caballeronia"
"ASV_1871","ASV_1871","Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
"ASV_1873","ASV_1873","Bacteria","Chloroflexi",NA,NA,NA,NA
"ASV_1878","ASV_1878","Bacteria","Verrucomicrobia","Spartobacteria",NA,NA,NA
"ASV_1879","ASV_1879","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
"ASV_1880","ASV_1880","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"ASV_1881","ASV_1881","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_1882","ASV_1882","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma"
"ASV_1883","ASV_1883","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter"
"ASV_1884","ASV_1884","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatella"
"ASV_1885","ASV_1885","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"ASV_1886","ASV_1886","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Tuberibacillus"
"ASV_1887","ASV_1887","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_1889","ASV_1889","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"ASV_1890","ASV_1890","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Terrabacter"
"ASV_1891","ASV_1891","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_1892","ASV_1892","Bacteria","Proteobacteria",NA,NA,NA,NA
"ASV_1894","ASV_1894","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"ASV_1902","ASV_1902","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA
"ASV_1903","ASV_1903","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"ASV_1904","ASV_1904","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Sediminibacterium"
"ASV_1906","ASV_1906","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_1907","ASV_1907","Bacteria","Proteobacteria",NA,NA,NA,NA
"ASV_1908","ASV_1908","Bacteria","Acidobacteria","Acidobacteria_Gp1","Granulicella",NA,NA
"ASV_1910","ASV_1910","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Flavihumibacter"
"ASV_1911","ASV_1911","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Mycobacterium"
"ASV_1914","ASV_1914","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas"
"ASV_1917","ASV_1917","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ASV_1918","ASV_1918","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Patulibacteraceae","Patulibacter"
"ASV_1920","ASV_1920","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_1921","ASV_1921","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"ASV_1922","ASV_1922","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae",NA
"ASV_1925","ASV_1925","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_1926","ASV_1926","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Labilitrichaceae","Labilithrix"
"ASV_1928","ASV_1928","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Isosphaeraceae","Tundrisphaera"
"ASV_1930","ASV_1930","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Novosphingobium"
"ASV_1931","ASV_1931","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ASV_1933","ASV_1933","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Terrisporobacter"
"ASV_1934","ASV_1934","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1",NA
"ASV_1935","ASV_1935","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Vampirovibrio"
"ASV_1936","ASV_1936","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ASV_1937","ASV_1937","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA
"ASV_1938","ASV_1938","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidisoma"
"ASV_1939","ASV_1939","Bacteria","Proteobacteria",NA,NA,NA,NA
"ASV_1940","ASV_1940","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Novosphingobium"
"ASV_1941","ASV_1941","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae",NA
"ASV_1942","ASV_1942","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma"
"ASV_1943","ASV_1943","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","Conexibacter"
"ASV_1944","ASV_1944","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA
"ASV_1947","ASV_1947","Bacteria","Verrucomicrobia","Spartobacteria",NA,NA,NA
"ASV_1949","ASV_1949","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"ASV_1952","ASV_1952","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Flavisolibacter"
"ASV_1961","ASV_1961","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Quadrisphaera"
"ASV_1962","ASV_1962","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter"
"ASV_1963","ASV_1963","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter"
"ASV_1964","ASV_1964","Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA
"ASV_1965","ASV_1965","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"ASV_1966","ASV_1966","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter"
"ASV_1968","ASV_1968","Bacteria","Armatimonadetes","Armatimonadetes_gp5",NA,NA,NA
"ASV_1969","ASV_1969","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges"
"ASV_1972","ASV_1972","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Segetibacter"
"ASV_1974","ASV_1974","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
