"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","superkingdom","clade","no rank","subclass","suborder","subphylum","subkingdom","kingdom","species group","section"
"query_94"," 37","ITS_2","Fusarium oxysporum","   5507",45320866.1627943,36752773.1167237,55782275.6175068,"OK","bayesian Eukaryota","5507","5507","5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","171631",NA
"query_95"," 31","ITS_2","Chaetomiaceae sp.","1756124",34600367.7266045,22238338.8501354,52347799.8779545,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1756124","1756124",NA,"35718","5139","147550","4890","2759","33154","1","222544",NA,"147538","451864","4751",NA,NA
"query_96"," 29","ITS_2","Fonsecaea minima","1367421",34319083.3098816,27203082.0552439,42480259.0827576,"OK","bayesian Eukaryota","1367421","1367421","40354","43219","34395","147545","4890","2759","33154","1","451870",NA,"147538","451864","4751",NA,NA
"query_97"," 27","ITS_2","Nectria cinnabarina","  29855",49379269.7324979,29757345.3645742,76406271.3146722,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","29855","29855","5133","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_98"," 25","ITS_2","Didymella pinodella"," 749633",34484147.6237799,25961153.8458362,44957379.1860229,"OK","bayesian Eukaryota","749633","749633","55170","683158","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
"query_99"," 23","ITS_2","Hebeloma crustuliniforme","  34454",48102884.8126864,23439387.3389942,87619830.8572208,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","34454","34454","34453","80649","5338","155619","5204","2759","33154","1","452333","2982305","5302","451864","4751",NA,NA
"query_100"," 19","ITS_2","Fusarium tricinctum","  61284",45855114.3059427,37301770.5092131,55829374.8721507,"OK","bayesian Eukaryota","61284","61284","5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","679429",NA
"query_101"," 19","ITS_2","Capnobotryella sp. MA 3619"," 447491",25360250.3824434,15106403.841828,39967819.7354399,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","447491","447491","62131","668547","2726947","147541","4890","2759","33154","1","451867",NA,"147538","451864","4751",NA,NA
"query_102"," 18","ITS_2","Shiraia bambusicola"," 224420",40304278.5145642,20551421.5857633,74668263.0418382,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","224420","224420","224419","224418","92860","147541","4890","2759","33154","1","451868",NA,"147538","451864","4751",NA,NA
"query_103"," 18","ITS_2","Dinemasporium pseudostrigosum","1196448",44247242.2032331,13732878.6639107,107650894.410674,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1196448","1196448","1196446","103886","261460","147550","4890","2759","33154","1","222544",NA,"147538","451864","4751",NA,NA
"query_104"," 17","ITS_2","Podila","2779937",42761774.2868198,24059550.6736165,72163780.7360362,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2779937",NA,"2779937","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_105"," 15","ITS_2","Solicoccozyma gelidoterrea","2877759",27998546.3989397,10544640.8765014,59372850.4234388,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2877759","2877759","1851575","1851565","90886","155616","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_106"," 14","ITS_2","Dinemasporium strigosum","1196449",44739561.7618927,14420166.5117767,105387447.226366,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1196449","1196449","1196446","103886","261460","147550","4890","2759","33154","1","222544",NA,"147538","451864","4751",NA,NA
"query_107"," 12","ITS_2","Coleophoma ericicola","1849048",44679320.4636621,21842708.384094,83041594.7905386,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1849048","1849048","453209","76657","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_108"," 11","ITS_2","Umbelopsis sp. Mykopat 134","1187152",24081393.603765,15950687.8826699,35797134.6783855,"OK","bayesian Eukaryota","1187152","1187152","64561","1403793","1913639","2212704","1913637","2759","33154","1",NA,NA,"451507",NA,"4751",NA,NA
"query_109"," 11","ITS_2","Clonostachys"," 110564",30186731.3999093,17840889.9739355,47421336.4788925,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","110564",NA,"110564","103887","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_110","  9","ITS_2","Fontanospora fusiramosa"," 693254",44977127.9653065,21926577.5882422,83814318.0194243,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","693254","693254","693252","2794838","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_111","  8","ITS_2","Seltsamia ulmi","2053811",36806821.0328266,21227624.1594882,62213820.9231101,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2053811","2053811","2065321","221670","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
"query_112","  8","ITS_2","Clonostachys rosea","  29856",30339884.3557441,18360896.5831207,48126628.998315,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","29856","29856","110564","103887","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_113","  7","ITS_2","Microsphaeropsis arundinis"," 413604",36794684.0102534,23425932.371117,55957240.0906841,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","413604","413604","107453","683158","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
"query_114","  7","ITS_2","Hyphodiscus hymeniophilus"," 353542",44976121.1453212,21878205.190502,82221946.324461,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","353542","353542","353541","2907103","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_115","  7","ITS_2","Ijuhya corynospora","2015267",30039231.5809474,18391199.7133305,47366787.2089739,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2015267","2015267","426745","103887","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_116","  6","ITS_2","Phaeomoniella chlamydospora"," 158046",34986296.8371299,11543388.3588975,84651434.3061142,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","158046","158046","158045","2231493","1618100","147545","4890","2759","33154","1","451870",NA,"147538","451864","4751",NA,NA
"query_117","  6","ITS_2","Rhizophlyctis rosea","  64517",36124817.3958329,8663715.29514942,108759180.751071,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","64517","64517","64515","1396497","642610","451435","4761","2759","33154","1",NA,NA,NA,NA,"4751",NA,NA
"query_118","  5","ITS_2","Bacillicladium lobatum","1909408",28660263.6939841,17343285.8577534,45457941.3590187,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1909408","1909408","1909407","1233474","34395","147545","4890","2759","33154","1","451870",NA,"147538","451864","4751",NA,NA
"query_119","  5","ITS_2","Fraxinicola fraxini"," 470489",35518087.9911191,14629287.7489155,71138667.369101,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","470489","470489","2729006","5023","1111111","147541","4890","2759","33154","1","451868",NA,"147538","451864","4751",NA,NA
"query_120","  5","ITS_2","Sarea sp.","2040954",39161912.4529798,5568363.84025128,147260940.267711,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2040954","2040954","273281","2820411","2820409","2820408","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_121"," 68","ITS_1","Podospora","   5144",35368543.7885234,28022817.7851667,43562234.4175757,"OK","bayesian Eukaryota","5144",NA,"5144","2609812","5139","147550","4890","2759","33154","1","222544",NA,"147538","451864","4751",NA,NA
"query_122"," 34","ITS_1","Podila minutissima","  64525",42595686.7647878,23412723.3570965,73453447.8027502,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","64525","64525","2779937","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_123"," 33","ITS_1","Dactylella cylindrospora","1814901",40750864.6561689,22059981.4971331,69881838.2265378,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1814901","1814901","47025","47021","189479","189478","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_124"," 25","ITS_1","Mucor moelleri","1302847",41698697.1928748,28024676.7203983,56918426.2494923,"OK","bayesian Eukaryota","1302847","1302847","4830","34489","4827","2212703","1913637","2759","33154","1",NA,"1344963","451507",NA,"4751",NA,NA
"query_125"," 23","ITS_1","Mortierella sp.","1715235",42620772.836358,23460864.6660918,72827561.5501225,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1715235","1715235","4855","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_126"," 17","ITS_1","Alternaria japonica"," 119919",35579546.2159249,28695903.1755405,43722592.9765375,"OK","bayesian Eukaryota","119919","119919","5598","28556","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,"2499259"
"query_127"," 16","ITS_1","Paraconiothyrium sp.","1696682",39683324.2709559,23843976.3942749,62603945.5674888,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1696682","1696682","300251","221678","92860","147541","4890","2759","33154","1","451868","1255046","147538","451864","4751",NA,NA
"query_128"," 14","ITS_1","Serendipita vermifera"," 109899",50581957.9181986,15409116.1997588,132369722.478581,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","109899","109899","358905","1506295","297313","155619","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_129"," 12","ITS_1","Chaetomium","   5149",34002108.3310979,26958476.1754688,42740408.497182,"OK","bayesian Eukaryota","5149",NA,"5149","35718","5139","147550","4890","2759","33154","1","222544",NA,"147538","451864","4751",NA,NA
"query_130"," 11","ITS_1","Pragmopora cf. piceae","2653547",45092278.6088227,11316641.5291032,118408329.274906,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2653547","2653547","2576843","2576842","2793949","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_131"," 10","ITS_1","Coleophoma ericicola","1849048",45403571.7121036,23323957.762699,84433329.540513,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1849048","1849048","453209","76657","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_132","  9","ITS_1","Neonectria neomacrospora","  78403",48820292.1534805,28509455.0361516,74122788.1243722,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","78403","78403","140106","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_133","  9","ITS_1","Digitopodium cannae","2571989",32908670.9305369,20606059.2892619,49531917.7412592,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2571989","2571989","2571987","43219","34395","147545","4890","2759","33154","1","451870",NA,"147538","451864","4751",NA,NA
"query_134","  8","ITS_1","Clonostachys"," 110564",30633849.464925,18486392.9492406,47999401.9626743,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","110564",NA,"110564","103887","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_135","  8","ITS_1","Saitozyma ninhbinhensis"," 388101",23009665.6599045,10143550.2091412,43805150.5443762,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","388101","388101","1890244","1890237","5234","155616","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_136","  6","ITS_1","Entomortierella beljakovae"," 979673",42578152.9585912,23838935.3734994,72447383.4018972,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","979673","979673","2779859","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_137","  6","ITS_1","Articulospora proliferata"," 556895",45599068.5944543,21144678.2829515,85099254.7715162,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","556895","556895","253308","2794838","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_138","  6","ITS_1","Fusarium oxysporum","   5507",44942423.1712538,36322669.7001742,54839690.9742668,"OK","bayesian Eukaryota","5507","5507","5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","171631",NA
"query_139","  5","ITS_1","Ceratobasidium sp. FO 38200"," 386466",50848726.4242373,28106309.3573035,82743511.0891375,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","386466","386466","5251","5250","36064","155619","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_140","  5","ITS_1","Mycena galopus","  41248",69358716.6063994,50232133.6632911,92466613.2114522,"OK","bayesian Eukaryota","41248","41248","41247","2024004","5338","155619","5204","2759","33154","1","452333","2982316","5302","451864","4751",NA,NA
"query_141","  5","ITS_1","Dominikia sp.","2011914",140613928.731501,70840288.1707081,255864440.795724,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2011914","2011914","1548385","36751","36750","214506","1913637","2759","33154","1",NA,NA,"214504",NA,"4751",NA,NA
"query_142","  5","ITS_1","Scutellospora sp.","1931098",114864571.480977,26175868.7476085,335494818.039919,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1931098","1931098","27382","36753","214509","214506","1913637","2759","33154","1",NA,NA,"214504",NA,"4751",NA,NA
"query_143","  5","ITS_1","Sarea sp.","2040954",38549259.6073506,6010851.19127055,129815719.958399,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2040954","2040954","273281","2820411","2820409","2820408","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_144","  5","ITS_1","Stropharia rugosoannulata","  68746",47681722.2207128,26568247.1892996,78149792.297838,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","68746","68746","68745","40562","5338","155619","5204","2759","33154","1","452333","2982305","5302","451864","4751",NA,NA
"query_145","  4","ITS_1","Orbilia atlantis","1798097",39697109.9123874,29793715.7861688,51956165.7111726,"OK","bayesian Eukaryota","1798097","1798097","47022","47021","189479","189478","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_146","  4","ITS_1","Mortierellaceae","   4854",42455935.3112295,23601929.9118954,72576793.7593486,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","4854",NA,NA,"4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_147","  4","ITS_1","Articulospora tetracladia"," 253309",45242007.3442988,21861088.8672596,82140124.7608323,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","253309","253309","253308","2794838","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_148","  4","ITS_1","Stagonospora pseudopaludosa","1414640",40838225.2396393,19834984.0527382,75537023.4004226,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1414640","1414640","54788","290882","92860","147541","4890","2759","33154","1","451868","1255046","147538","451864","4751",NA,NA
"query_149","  4","ITS_1","Allophylaria subliciformis","2478803",45380779.1202024,21606403.2332612,84340364.0254278,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2478803","2478803","2478802","2488219","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_150","  4","ITS_1","Pestalotiopsis mangiferae"," 748176",51360322.5840166,38221095.120864,66687967.6813498,"OK","bayesian Eukaryota","748176","748176","37840","1812776","37989","147550","4890","2759","33154","1","222545",NA,"147538","451864","4751",NA,NA
"query_151","313","16S_3","Acidobacteriaceae"," 204434",5462277.47655217,2902217.97110247,9171204.93737885,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","204434",NA,NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_152"," 88","16S_3","Bacillaceae"," 186817",3889815.11087124,2156509.28769948,6078474.66738645,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","186817",NA,NA,"186817","1385","91061","1239","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_153"," 79","16S_3","Actinoallomurus sp.","1872127",10125761.7531367,7714578.41032758,13022276.6660402,"OK","bayesian Bacteria","1872127","1872127","667113","2012","85012","1760","201174","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_154"," 78","16S_3","Mycobacterium","   1763",5714972.86272396,4306410.5911911,7349972.4524422,"OK","bayesian Bacteria","1763",NA,"1763","1762","85007","1760","201174","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_155"," 74","16S_3","Acidobacteriaceae bacterium","2052142",5503018.23991303,2823247.96803328,9149817.54470436,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","2052142","2052142",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_156"," 45","16S_3","Opitutus sp.","1913982",5249499.43944977,3674661.63096889,7135532.90835805,"OK","bayesian Bacteria","1913982","1913982","178440","134623","415000","414999","74201","2","1783257","1",NA,NA,NA,NA,NA,NA,NA
"query_157"," 36","16S_3","Alloacidobacterium dinghuense","2763107",6271114,NA,NA,"OK","reference_mean","2763107","2763107","2951993","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_158"," 33","16S_3","Blastochloris","  59282",3930637.73228335,2840390.71204945,5380141.14980811,"OK","bayesian Bacteria","59282",NA,"59282","2831090","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_159"," 32","16S_3","bacterium Ellin5058"," 234245",5475095.1263529,2914831.15657666,8827715.14438406,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","234245","234245",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_160"," 26","16S_3","Terracidiphilus gabretensis","1577687",5345618,NA,NA,"OK","reference_mean","1577687","1577687","1768185","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_161"," 25","16S_3","Gallionella sp.","2052161",3174633.93462066,2153212.09053245,4481366.83823498,"OK","bayesian Bacteria","2052161","2052161","96","90627","32003","28216","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_162"," 23","16S_3","Syntrophobacter wolinii","  29527",4883615.23982214,3528472.01411478,6467643.43244362,"OK","bayesian Bacteria","29527","29527","29526","213465","213462","3024408","200940","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_163"," 23","16S_3","Paenibacillus sp. 27-9"," 519770",6586069.38151089,4825043.80116248,8685170.81988361,"OK","bayesian Bacteria","519770","519770","44249","186822","1385","91061","1239","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_164"," 23","16S_3","Acidobacteriaceae bacterium LWQ3","1387378",5531323.26553361,3017841.657042,9246592.19405613,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1387378","1387378",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_165"," 19","16S_3","unclassified Bradyrhizobium","2631580",8238141.19765023,6113675.62253284,10673391.236153,"OK","bayesian Bacteria","2631580",NA,"374","41294","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_166"," 17","16S_3","Rhodoplanes","  29407",4326865.92831731,3167914.8225606,5773948.04288202,"OK","bayesian Bacteria","29407",NA,"29407","45401","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_167"," 15","16S_3","Ktedonobacter sp.","1932716",11805739.3980805,9526039.92776247,14367007.3740032,"OK","bayesian Bacteria","1932716","1932716","363276","388449","388448","388447","200795","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_168"," 13","16S_3","Acidobacterium capsulatum","  33075",4649612.80936359,3252885.35519118,6374926.98566872,"OK","bayesian Bacteria","33075","33075","33973","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_169"," 12","16S_3","Sideroxydans"," 314343",3345087.41567031,2362564.4358265,4569233.95022602,"OK","bayesian Bacteria","314343",NA,"314343","90627","32003","28216","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_170"," 12","16S_3","Rhodopila globiformis","   1071",7247838,NA,NA,"OK","reference_mean","1071","1071","1070","433","204441","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_171"," 12","16S_3","Granulicella sp.","1969471",5400367.33176885,3900912.23859381,7377423.33557329,"OK","bayesian Bacteria","1969471","1969471","940557","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_172"," 11","16S_3","unclassified Rhizomicrobium","2649895",4447291.85034931,3177560.07805829,6183703.56726869,"OK","bayesian Bacteria","2649895",NA,"1241326","1921568","1921567","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_173"," 11","16S_3","bacterium Ellin342"," 204668",5529814.96533004,2837208.63515692,9295556.75467319,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","204668","204668",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_174"," 11","16S_3","Spirochaeta sp.","  28185",3533116.64875936,2583682.66439216,4716535.37732286,"OK","bayesian Bacteria","28185","28185","146","137","136","203692","203691","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_175"," 11","16S_3","Rhizomicrobium sp. URHD0049","1703066",4487822.45603878,3142492.36557896,6177562.36857197,"OK","bayesian Bacteria","1703066","1703066","1241326","1921568","1921567","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_176"," 10","16S_3","Trebonia kvetii","2480626",9254566,NA,NA,"OK","reference_mean","2480626","2480626","2767073","2767072","85012","1760","201174","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_177","  9","16S_3","Acidobacteriaceae bacterium KBS 89","1267534",5597331.90201157,2976786.51409149,9140711.7134989,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1267534","1267534",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_178","  9","16S_3","Flavitalea sp.","1909289",7824013.41151623,5201718.28609683,11261426.3809258,"OK","bayesian Bacteria","1909289","1909289","1210116","563835","1853229","1853228","976","2","1783270","1",NA,NA,NA,NA,NA,NA,NA
"query_179","  8","16S_3","Acidisphaera sp.","1872116",5734075.33531894,4134148.68337715,7712979.72443702,"OK","bayesian Bacteria","1872116","1872116","50714","433","204441","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_180","  8","16S_3","unclassified Telmatobacter","2634852",5915445.96723411,3886618.49593715,8655179.15220756,"OK","bayesian Bacteria","2634852",NA,"1078829","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
