"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","estimated_genome_size_confidence_interval","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","clade","superkingdom","no rank","subphylum","suborder","subclass","subkingdom","kingdom","species group","section","confidence_interval_lower","confidence_interval_upper"
"query...92"," 81","ITS_2","Linnemannia elongata"," 310910",46697125.9463647,"18641474.2;119103642","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","310910","310910","2779861","4854","214503","2212732","1913637","33154","2759","1","1137986",NA,NA,NA,"4751",NA,NA,"18641474.2","119103642"
"query...93"," 68","ITS_2","Cladosporium","   5498",31177999.5121438,"13712613;76071651","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","5498",NA,"5498","452563","2726946","147541","4890","33154","2759","1","147538",NA,"451867","451864","4751",NA,NA,"13712613.0"," 76071651"
"query...94"," 37","ITS_2","Fusarium oxysporum","   5507",44296347.7047846,"24538521.3;101305977","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","5507","5507","5506","110618","5125","147550","4890","33154","2759","1","147538",NA,"222543","451864","4751","171631",NA,"24538521.3","101305977"
"query...95"," 31","ITS_2","Chaetomiaceae sp.","1756124",6268877.36246068,"3503641.9;12128711","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1756124","1756124",NA,"35718","5139","147550","4890","33154","2759","1","147538",NA,"222544","451864","4751",NA,NA," 3503641.9"," 12128711"
"query...96"," 29","ITS_2","Fonsecaea minima","1367421",34278025.1109818,"14188060.7;87333901","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1367421","1367421","40354","43219","34395","147545","4890","33154","2759","1","147538",NA,"451870","451864","4751",NA,NA,"14188060.7"," 87333901"
"query...97"," 27","ITS_2","Nectria cinnabarina","  29855",53928418.1127302,"22586144.2;117545273","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","29855","29855","5133","110618","5125","147550","4890","33154","2759","1","147538",NA,"222543","451864","4751",NA,NA,"22586144.2","117545273"
"query...98"," 25","ITS_2","Didymella pinodella"," 749633",35247965.7200244,"15530131.5;86016757","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","749633","749633","55170","683158","92860","147541","4890","33154","2759","1","147538","715340","451868","451864","4751",NA,NA,"15530131.5"," 86016757"
"query...99"," 23","ITS_2","Hebeloma crustuliniforme","  34454",35489637.3741852,"13682730.1;89122726","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","34454","34454","34453","80649","5338","155619","5204","33154","2759","1","5302",NA,"452333","451864","4751",NA,NA,"13682730.1"," 89122726"
"query...100"," 19","ITS_2","Fusarium tricinctum","  61284",44296347.7047846,"24538521.3;101305977","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","61284","61284","5506","110618","5125","147550","4890","33154","2759","1","147538",NA,"222543","451864","4751","679429",NA,"24538521.3","101305977"
"query...101"," 19","ITS_2","Capnobotryella sp. MA 3619"," 447491",6268877.36246068,"3551995.2;11380371","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","447491","447491","62131","668547","2726947","147541","4890","33154","2759","1","147538",NA,"451867","451864","4751",NA,NA," 3551995.2"," 11380371"
"query...102"," 18","ITS_2","Shiraia bambusicola"," 224420",31825293.2522793,"13223323.4;92654415","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","224420","224420","224419","224418","92860","147541","4890","33154","2759","1","147538",NA,"451868","451864","4751",NA,NA,"13223323.4"," 92654415"
"query...103"," 18","ITS_2","Dinemasporium pseudostrigosum","1196448",6268877.36246068,"3681575.3;13431776","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1196448","1196448","1196446","103886","261460","147550","4890","33154","2759","1","147538",NA,"222544","451864","4751",NA,NA," 3681575.3"," 13431776"
"query...104"," 17","ITS_2","Podila","2779937",37520964.6738037,"15533318.4;94586093","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2779937",NA,"2779937","4854","214503","2212732","1913637","33154","2759","1","1137986",NA,NA,NA,"4751",NA,NA,"15533318.4"," 94586093"
"query...105"," 15","ITS_2","Solicoccozyma gelidoterrea","2877759",22324055.4505295,"10826866;67070053","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2877759","2877759","1851575","1851565","90886","155616","5204","33154","2759","1","5302",NA,NA,"451864","4751",NA,NA,"10826866.0"," 67070053"
"query...106"," 14","ITS_2","Dinemasporium strigosum","1196449",6268877.36246068,"3491502.8;11023184","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1196449","1196449","1196446","103886","261460","147550","4890","33154","2759","1","147538",NA,"222544","451864","4751",NA,NA," 3491502.8"," 11023184"
"query...107"," 12","ITS_2","Coleophoma ericicola","1849048",41195077.322367,"18226613.8;101085151","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1849048","1849048","453209","76657","5178","147548","4890","33154","2759","1","147538",NA,NA,"451864","4751",NA,NA,"18226613.8","101085151"
"query...108"," 11","ITS_2","Umbelopsis sp. Mykopat 134","1187152",22841877.3411876,"10094723.2;50351846","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1187152","1187152","64561","1403793","1913639","2212704","1913637","33154","2759","1","451507",NA,NA,NA,"4751",NA,NA,"10094723.2"," 50351846"
"query...109"," 11","ITS_2","Clonostachys"," 110564",52508095.8881746,"23626761.5;123594468","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","110564",NA,"110564","103887","5125","147550","4890","33154","2759","1","147538",NA,"222543","451864","4751",NA,NA,"23626761.5","123594468"
"query...110","  9","ITS_2","Fontanospora fusiramosa"," 693254",6268877.36246068,"3760020;12173143","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","693254","693254","693252","2794838","5178","147548","4890","33154","2759","1","147538",NA,NA,"451864","4751",NA,NA," 3760020.0"," 12173143"
"query...111","  8","ITS_2","Seltsamia ulmi","2053811",6268877.36246068,"3758761.5;11971138","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2053811","2053811","2065321","221670","92860","147541","4890","33154","2759","1","147538","715340","451868","451864","4751",NA,NA," 3758761.5"," 11971138"
"query...112","  8","ITS_2","Clonostachys rosea","  29856",52508095.8881746,"23626761.5;123594468","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","29856","29856","110564","103887","5125","147550","4890","33154","2759","1","147538",NA,"222543","451864","4751",NA,NA,"23626761.5","123594468"
"query...113","  7","ITS_2","Microsphaeropsis arundinis"," 413604",NA,NA,"No reference and query too high in taxonomic tree to fit in model",NA,"413604","413604","107453",NA,"92860","147541","4890","33154","2759","1","147538","715340","451868","451864","4751",NA,NA," 3457047.7"," 10582137"
"query...114","  7","ITS_2","Hyphodiscus hymeniophilus"," 353542",34699916.3226185,"15791253.8;98509028","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","353542","353542","353541","2907103","5178","147548","4890","33154","2759","1","147538",NA,NA,"451864","4751",NA,NA,"15791253.8"," 98509028"
"query...115","  7","ITS_2","Ijuhya corynospora","2015267",6268877.36246068,"3416740.2;13093610","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2015267","2015267","426745","103887","5125","147550","4890","33154","2759","1","147538",NA,"222543","451864","4751",NA,NA," 3416740.2"," 13093610"
"query...116","  6","ITS_2","Phaeomoniella chlamydospora"," 158046",26723988.6959686,"11578091.1;52489799","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","158046","158046","158045","2231493","1618100","147545","4890","33154","2759","1","147538",NA,"451870","451864","4751",NA,NA,"11578091.1"," 52489799"
"query...117","  6","ITS_2","Rhizophlyctis rosea","  64517",46137307.931287,"17721480.8;106761259","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","64517","64517","64515","1396497","642610","451435","4761","33154","2759","1",NA,NA,NA,NA,"4751",NA,NA,"17721480.8","106761259"
"query...118","  5","ITS_2","Bacillicladium lobatum","1909408",6268877.36246068,"3321437.9;12210468","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1909408","1909408","1909407","1233474","34395","147545","4890","33154","2759","1","147538",NA,"451870","451864","4751",NA,NA," 3321437.9"," 12210468"
"query...119","  5","ITS_2","Fraxinicola fraxini"," 470489",6268877.36246068,"3805752.8;11736321","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","470489","470489","2729006","5023","1111111","147541","4890","33154","2759","1","147538",NA,"451868","451864","4751",NA,NA," 3805752.8"," 11736321"
"query...120","  5","ITS_2","Sarea sp.","2040954",6268877.36246068,"3552518.9;10323003","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2040954","2040954","273281","2820411","2820409","2820408","4890","33154","2759","1","147538",NA,NA,"451864","4751",NA,NA," 3552518.9"," 10323003"
"query...121"," 68","ITS_1","Podospora","   5144",34379965.1886278,"15811300.9;81482029","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","5144",NA,"5144","2609812","5139","147550","4890","33154","2759","1","147538",NA,"222544","451864","4751",NA,NA,"15811300.9"," 81482029"
"query...122"," 34","ITS_1","Podila minutissima","  64525",37520964.6738037,"15533318.4;94586093","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","64525","64525","2779937","4854","214503","2212732","1913637","33154","2759","1","1137986",NA,NA,NA,"4751",NA,NA,"15533318.4"," 94586093"
"query...123"," 33","ITS_1","Dactylella cylindrospora","1814901",37320161.0288898,"16623988.8;100778327","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1814901","1814901","47025","47021","189479","189478","4890","33154","2759","1","147538",NA,NA,"451864","4751",NA,NA,"16623988.8","100778327"
"query...124"," 25","ITS_1","Mucor moelleri","1302847",36054771.7341803,"14187584.9;86615803","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1302847","1302847","4830","34489","4827","2212703","1913637","33154","2759","1","451507","1344963",NA,NA,"4751",NA,NA,"14187584.9"," 86615803"
"query...125"," 23","ITS_1","Mortierella sp.","1715235",41538680.9534316,"17722519.4;101017769","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1715235","1715235","4855","4854","214503","2212732","1913637","33154","2759","1","1137986",NA,NA,NA,"4751",NA,NA,"17722519.4","101017769"
"query...126"," 17","ITS_1","Alternaria japonica"," 119919",35511671.2589456,"13954612.5;78331390","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","119919","119919","5598","28556","92860","147541","4890","33154","2759","1","147538","715340","451868","451864","4751",NA,"2499259","13954612.5"," 78331390"
"query...127"," 16","ITS_1","Paraconiothyrium sp.","1696682",39299757.8480767,"13250086.7;98908649","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1696682","1696682","300251","221678","92860","147541","4890","33154","2759","1","147538","1255046","451868","451864","4751",NA,NA,"13250086.7"," 98908649"
"query...128"," 14","ITS_1","Serendipita vermifera"," 109899",28406216.4666102,"12741418.9;61759577","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","109899","109899","358905","1506295","297313","155619","5204","33154","2759","1","5302",NA,NA,"451864","4751",NA,NA,"12741418.9"," 61759577"
"query...129"," 12","ITS_1","Chaetomium","   5149",32849171.4683306,"8720821.3;76676528","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","5149",NA,"5149","35718","5139","147550","4890","33154","2759","1","147538",NA,"222544","451864","4751",NA,NA," 8720821.3"," 76676528"
"query...130"," 11","ITS_1","Pragmopora cf. piceae","2653547",6268877.36246068,"3471396.4;9755078","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2653547","2653547","2576843","2576842","2793949","147548","4890","33154","2759","1","147538",NA,NA,"451864","4751",NA,NA," 3471396.4","  9755078"
"query...131"," 10","ITS_1","Coleophoma ericicola","1849048",41195077.322367,"18226613.8;101085151","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1849048","1849048","453209","76657","5178","147548","4890","33154","2759","1","147538",NA,NA,"451864","4751",NA,NA,"18226613.8","101085151"
"query...132","  9","ITS_1","Neonectria neomacrospora","  78403",41863894.1108375,"16561962.5;94307336","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","78403","78403","140106","110618","5125","147550","4890","33154","2759","1","147538",NA,"222543","451864","4751",NA,NA,"16561962.5"," 94307336"
"query...133","  9","ITS_1","Digitopodium cannae","2571989",NA,NA,"No reference and query too high in taxonomic tree to fit in model",NA,"2571989","2571989","2571987",NA,"34395","147545","4890","33154","2759","1","147538",NA,"451870","451864","4751",NA,NA," 3373775.3","  9978946"
"query...134","  8","ITS_1","Clonostachys"," 110564",52508095.8881746,"23626761.5;123594468","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","110564",NA,"110564","103887","5125","147550","4890","33154","2759","1","147538",NA,"222543","451864","4751",NA,NA,"23626761.5","123594468"
"query...135","  8","ITS_1","Saitozyma ninhbinhensis"," 388101",36973637.2840197,"13276572.4;91497711","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","388101","388101","1890244","1890237","5234","155616","5204","33154","2759","1","5302",NA,NA,"451864","4751",NA,NA,"13276572.4"," 91497711"
"query...136","  6","ITS_1","Entomortierella beljakovae"," 979673",37496228.1113559,"17588721;76290905","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","979673","979673","2779859","4854","214503","2212732","1913637","33154","2759","1","1137986",NA,NA,NA,"4751",NA,NA,"17588721.0"," 76290905"
"query...137","  6","ITS_1","Articulospora proliferata"," 556895",41469031.2185924,"16591104.8;114449237","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","556895","556895","253308","2794838","5178","147548","4890","33154","2759","1","147538",NA,NA,"451864","4751",NA,NA,"16591104.8","114449237"
"query...138","  6","ITS_1","Fusarium oxysporum","   5507",44296347.7047846,"24538521.3;101305977","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","5507","5507","5506","110618","5125","147550","4890","33154","2759","1","147538",NA,"222543","451864","4751","171631",NA,"24538521.3","101305977"
"query...139","  5","ITS_1","Ceratobasidium sp. FO 38200"," 386466",54536651.1062385,"23996089;130216560","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","386466","386466","5251","5250","36064","155619","5204","33154","2759","1","5302",NA,NA,"451864","4751",NA,NA,"23996089.0","130216560"
"query...140","  5","ITS_1","Mycena galopus","  41248",99284269.3201902,"40938926.8;250070176","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","41248","41248","41247","2024004","5338","155619","5204","33154","2759","1","5302",NA,"452333","451864","4751",NA,NA,"40938926.8","250070176"
"query...141","  5","ITS_1","Dominikia sp.","2011914",6268877.36246068,"3272218.5;11985803","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2011914","2011914","1548385","36751","36750","214506","1913637","33154","2759","1","214504",NA,NA,NA,"4751",NA,NA," 3272218.5"," 11985803"
"query...142","  5","ITS_1","Scutellospora sp.","1931098",144904016.012319,"52573637.5;360267339","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1931098","1931098","27382","36753","214509","214506","1913637","33154","2759","1","214504",NA,NA,NA,"4751",NA,NA,"52573637.5","360267339"
"query...143","  5","ITS_1","Sarea sp.","2040954",6268877.36246068,"2802515.1;11429516","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2040954","2040954","273281","2820411","2820409","2820408","4890","33154","2759","1","147538",NA,NA,"451864","4751",NA,NA," 2802515.1"," 11429516"
"query...144","  5","ITS_1","Stropharia rugosoannulata","  68746",49909612.5024697,"19345720.7;149307490","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","68746","68746","68745","40562","5338","155619","5204","33154","2759","1","5302",NA,"452333","451864","4751",NA,NA,"19345720.7","149307490"
"query...145","  4","ITS_1","Orbilia atlantis","1798097",39809145.5088507,"16814885.6;102862317","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1798097","1798097","47022","47021","189479","189478","4890","33154","2759","1","147538",NA,NA,"451864","4751",NA,NA,"16814885.6","102862317"
"query...146","  4","ITS_1","Mortierellaceae","   4854",6268877.36246068,"3995818.2;12527584","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","4854",NA,NA,"4854","214503","2212732","1913637","33154","2759","1","1137986",NA,NA,NA,"4751",NA,NA," 3995818.2"," 12527584"
"query...147","  4","ITS_1","Articulospora tetracladia"," 253309",41469031.2185924,"16591104.8;114449237","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","253309","253309","253308","2794838","5178","147548","4890","33154","2759","1","147538",NA,NA,"451864","4751",NA,NA,"16591104.8","114449237"
"query...148","  4","ITS_1","Stagonospora pseudopaludosa","1414640",35678483.5667403,"16083801.5;90143857","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1414640","1414640","54788","290882","92860","147541","4890","33154","2759","1","147538","1255046","451868","451864","4751",NA,NA,"16083801.5"," 90143857"
"query...149","  4","ITS_1","Allophylaria subliciformis","2478803",6268877.36246068,"3711400.2;11264590","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2478803","2478803","2478802","2488219","5178","147548","4890","33154","2759","1","147538",NA,NA,"451864","4751",NA,NA," 3711400.2"," 11264590"
"query...150","  4","ITS_1","Pestalotiopsis mangiferae"," 748176",48519012.4664335,"23240596.7;110689747","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","748176","748176","37840","1812776","37989","147550","4890","33154","2759","1","147538",NA,"222545","451864","4751",NA,NA,"23240596.7","110689747"
"query...151","313","16S_3","Acidobacteriaceae"," 204434",6268877.36246068,"3365618.6;12411182","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","204434",NA,NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3365618.6"," 12411182"
"query...152"," 88","16S_3","Bacillaceae"," 186817",6268877.36246068,"3400289.6;11221182","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","186817",NA,NA,"186817","1385","91061","1239","1783272","2","1",NA,NA,NA,NA,NA,NA,NA," 3400289.6"," 11221182"
"query...153"," 79","16S_3","Actinoallomurus sp.","1872127",8885642.58207506,"3304148.7;16660159","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1872127","1872127","667113","2012","85012","1760","201174","1783272","2","1",NA,NA,NA,NA,NA,NA,NA," 3304148.7"," 16660159"
"query...154"," 78","16S_3","Mycobacterium","   1763",4548335.04717853,"1794698.6;10256181","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1763",NA,"1763","1762","85007","1760","201174","1783272","2","1",NA,NA,NA,NA,NA,NA,NA," 1794698.6"," 10256181"
"query...155"," 74","16S_3","Acidobacteriaceae bacterium","2052142",6268877.36246068,"3644980.3;10502299","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2052142","2052142",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3644980.3"," 10502299"
"query...156"," 45","16S_3","Opitutus sp.","1913982",4963448.79737458,"2001989.8;13231894","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1913982","1913982","178440","134623","415000","414999","74201","1783257","2","1",NA,NA,NA,NA,NA,NA,NA," 2001989.8"," 13231894"
"query...157"," 36","16S_3","Alloacidobacterium dinghuense","2763107",6271114,NA,"OK","reference_mean","2763107","2763107","33973","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 2045393.4"," 10862092"
"query...158"," 33","16S_3","Blastochloris","  59282",3406532.5461267,"1562213.9;8910133","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","59282",NA,"59282","2831090","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1562213.9","  8910133"
"query...159"," 32","16S_3","bacterium Ellin5058"," 234245",6268877.36246068,"3471396.4;9755078","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","234245","234245",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3471396.4","  9755078"
"query...160"," 26","16S_3","Terracidiphilus gabretensis","1577687",5345618,NA,"OK","reference_mean","1577687","1577687","1768185","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1753194.7"," 10894728"
"query...161"," 25","16S_3","Gallionella sp.","2052161",2576495.17503627,"1214696.4;4578714","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2052161","2052161","96","90627","32003","28216","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1214696.4","  4578714"
"query...162"," 23","16S_3","Syntrophobacter wolinii","  29527",3090811.36682166,"1297018.3;8082781","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","29527","29527","29526","213465","213462","28221","1224",NA,"2","1","68525",NA,NA,NA,NA,NA,NA," 1297018.3","  8082781"
"query...163"," 23","16S_3","Paenibacillus sp. 27-9"," 519770",6371054.5182011,"2825844;13545788","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","519770","519770","44249","186822","1385","91061","1239","1783272","2","1",NA,NA,NA,NA,NA,NA,NA," 2825844.0"," 13545788"
"query...164"," 23","16S_3","Acidobacteriaceae bacterium LWQ3","1387378",6268877.36246068,"3457379.4;11717529","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1387378","1387378",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3457379.4"," 11717529"
"query...165"," 19","16S_3","unclassified Bradyrhizobium","2631580",8047625.26521531,"3661376.6;19852261","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2631580",NA,"374","41294","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3661376.6"," 19852261"
"query...166"," 17","16S_3","Rhodoplanes","  29407",3719098.3795548,"1550695.8;7643380","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","29407",NA,"29407","45401","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1550695.8","  7643380"
"query...167"," 15","16S_3","Ktedonobacter sp.","1932716",4364446.73962182,"1982012;8949344","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1932716","1932716","363276","388449","388448","388447","200795","1783272","2","1",NA,NA,NA,NA,NA,NA,NA," 1982012.0","  8949344"
"query...168"," 13","16S_3","Acidobacterium capsulatum","  33075",4519785.11424114,"2045393.4;10862092","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","33075","33075","33973","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 2045393.4"," 10862092"
"query...169"," 12","16S_3","Sideroxydans"," 314343",1670737.85693658,"762563.7;3944523","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","314343",NA,"314343","90627","32003","28216","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA,"  762563.7","  3944523"
"query...170"," 12","16S_3","Rhodopila globiformis","   1071",7247838,NA,"OK","reference_mean","1071","1071","1070","433","204441","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 2936065.2"," 15307636"
"query...171"," 12","16S_3","Granulicella sp.","1969471",4677459.06987119,"1932090.4;10268185","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1969471","1969471","940557","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1932090.4"," 10268185"
"query...172"," 11","16S_3","unclassified Rhizomicrobium","2649895",3323666.00131047,"1264122.1;9329087","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2649895",NA,"1241326","1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1264122.1","  9329087"
"query...173"," 11","16S_3","bacterium Ellin342"," 204668",6268877.36246068,"3575227.7;12594771","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","204668","204668",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3575227.7"," 12594771"
"query...174"," 11","16S_3","Spirochaeta sp.","  28185",3283983.94524402,"1244870.9;7456147","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","28185","28185","146","137","136","203692","203691",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1244870.9","  7456147"
"query...175"," 11","16S_3","Rhizomicrobium sp. URHD0049","1703066",3323666.00131047,"1264122.1;9329087","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1703066","1703066","1241326","1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1264122.1","  9329087"
"query...176"," 10","16S_3","Trebonia kvetii","2480626",9254566,NA,"OK","reference_mean","2480626","2480626","2767073","2767072","85012","1760","201174","1783272","2","1",NA,NA,NA,NA,NA,NA,NA," 3622212.6"," 23003219"
"query...177","  9","16S_3","Acidobacteriaceae bacterium KBS 89","1267534",6268877.36246068,"3810490.2;11602960","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1267534","1267534",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3810490.2"," 11602960"
"query...178","  9","16S_3","Flavitalea sp.","1909289",4743522.98453193,"1794008.9;13859048","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1909289","1909289","1210116","563835","1853229","1853228","976","1783270","2","1",NA,NA,NA,NA,NA,NA,NA," 1794008.9"," 13859048"
"query...179","  8","16S_3","Acidisphaera sp.","1872116",4990995.32043863,"2169932;11727022","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1872116","1872116","50714","433","204441","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 2169932.0"," 11727022"
"query...180","  8","16S_3","unclassified Telmatobacter","2634852",6268877.36246068,"3321437.9;12210468","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2634852",NA,"1078829","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3321437.9"," 12210468"
